op,dataset,case_id,dtype,seed,status,prepared_input,result_path
lightning_indexer,realistic_decode,deepseek_a5_decode_b1_ctx512_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_decode/deepseek_a5_decode_b1_ctx512_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_decode-deepseek_a5_decode_b1_ctx512_top512-bfloat16-seed0.json
sparse_attention,realistic_decode,deepseek_a5_decode_b1_ctx512_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_decode/deepseek_a5_decode_b1_ctx512_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_decode-deepseek_a5_decode_b1_ctx512_top512-bfloat16-seed0.json
lightning_indexer,realistic_decode,deepseek_a5_decode_b1_ctx2048_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_decode/deepseek_a5_decode_b1_ctx2048_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_decode-deepseek_a5_decode_b1_ctx2048_top512-bfloat16-seed0.json
sparse_attention,realistic_decode,deepseek_a5_decode_b1_ctx2048_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_decode/deepseek_a5_decode_b1_ctx2048_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_decode-deepseek_a5_decode_b1_ctx2048_top512-bfloat16-seed0.json
lightning_indexer,realistic_decode,deepseek_a5_decode_b1_ctx4096_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_decode/deepseek_a5_decode_b1_ctx4096_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_decode-deepseek_a5_decode_b1_ctx4096_top512-bfloat16-seed0.json
sparse_attention,realistic_decode,deepseek_a5_decode_b1_ctx4096_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_decode/deepseek_a5_decode_b1_ctx4096_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_decode-deepseek_a5_decode_b1_ctx4096_top512-bfloat16-seed0.json
lightning_indexer,realistic_decode,deepseek_a5_decode_b1_ctx8192_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_decode/deepseek_a5_decode_b1_ctx8192_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_decode-deepseek_a5_decode_b1_ctx8192_top512-bfloat16-seed0.json
sparse_attention,realistic_decode,deepseek_a5_decode_b1_ctx8192_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_decode/deepseek_a5_decode_b1_ctx8192_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_decode-deepseek_a5_decode_b1_ctx8192_top512-bfloat16-seed0.json
lightning_indexer,realistic_decode,deepseek_a5_decode_b1_ctx16384_top1024,bfloat16,0,ok,prepared/lightning_indexer/realistic_decode/deepseek_a5_decode_b1_ctx16384_top1024-bfloat16-seed0.json,perf/lightning_indexer-realistic_decode-deepseek_a5_decode_b1_ctx16384_top1024-bfloat16-seed0.json
sparse_attention,realistic_decode,deepseek_a5_decode_b1_ctx16384_top1024,bfloat16,0,ok,prepared/sparse_attention/realistic_decode/deepseek_a5_decode_b1_ctx16384_top1024-bfloat16-seed0.json,perf/sparse_attention-realistic_decode-deepseek_a5_decode_b1_ctx16384_top1024-bfloat16-seed0.json
lightning_indexer,realistic_decode,deepseek_a5_decode_b2_ctx4096_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_decode/deepseek_a5_decode_b2_ctx4096_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_decode-deepseek_a5_decode_b2_ctx4096_top512-bfloat16-seed0.json
sparse_attention,realistic_decode,deepseek_a5_decode_b2_ctx4096_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_decode/deepseek_a5_decode_b2_ctx4096_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_decode-deepseek_a5_decode_b2_ctx4096_top512-bfloat16-seed0.json
lightning_indexer,realistic_decode,deepseek_a5_decode_b4_ctx4096_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_decode/deepseek_a5_decode_b4_ctx4096_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_decode-deepseek_a5_decode_b4_ctx4096_top512-bfloat16-seed0.json
sparse_attention,realistic_decode,deepseek_a5_decode_b4_ctx4096_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_decode/deepseek_a5_decode_b4_ctx4096_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_decode-deepseek_a5_decode_b4_ctx4096_top512-bfloat16-seed0.json
lightning_indexer,realistic_decode,deepseek_a5_decode_b8_ctx2048_top512,bfloat16,0,ok,prepared/lightning_indexer/realistic_decode/deepseek_a5_decode_b8_ctx2048_top512-bfloat16-seed0.json,perf/lightning_indexer-realistic_decode-deepseek_a5_decode_b8_ctx2048_top512-bfloat16-seed0.json
sparse_attention,realistic_decode,deepseek_a5_decode_b8_ctx2048_top512,bfloat16,0,ok,prepared/sparse_attention/realistic_decode/deepseek_a5_decode_b8_ctx2048_top512-bfloat16-seed0.json,perf/sparse_attention-realistic_decode-deepseek_a5_decode_b8_ctx2048_top512-bfloat16-seed0.json
